codigo,producto,ficha_anio,ficha_info,ficha_oem,ficha_medidas,imagen_producto,url_ficha,fuente,titulo,categoria,pieza,posicion,lado,diametro_int,diametro_ext,altura,diametro_int_filtro,diametro_ext_filtro,altura_filtro,abs
RR102,RODAMIENTO,,Aplicaciones: FORD ECOSPORT 03> | FORD FIESTA 03> | FORD FOCUS 00> | FORD MONDEO 94>,F 125091 | 4RR122901 | 712187810,Ø int: 45 | Ø ext: 75 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SEMIEJE,DEL,IZQ/DER,45,75,0,45,75,0,NO
RR45,RODAMIENTO,,Aplicaciones: FORD ECOSPORT 4X2 03> | FORD FIESTA 03>11 | FORD FOCUS 00>08,801023 AB | BTH-1206AB | 4RR801023 | PW29530037CSHD | R152.56 | 713678030 | 516007,Ø int: 29 | Ø ext: 53 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,29,53,37,29,53,37,NO
RCC69,RODAMIENTO,,Aplicaciones: FORD ESCORT 88>95 | FORD SIERRA 84>93,14687 | VKBA4687 | 4RR4687K,Ø int: 35.000 / 35.000 | Ø ext: 60.000 / 60.000 | Alt: 15.875 / 15.875 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT/EXT,35.000 / 35.000,60.000 / 60.000,15.875 / 15.875,,,,NO
RCC68,RODAMIENTO,,Aplicaciones: FORD ESCORT 96>03 | FORD FIESTA 94>02 | FORD KA 97> | FORD ORION 93>98 | VOLKSWAGEN POINTER 93>97,14533 | VKBA4533 | 4RR4533K,Ø int: 29.000 / 29.000 | Ø ext: 50.292 / 50.292 | Alt: 17.520 / 17.520 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT/EXT,29.000 / 29.000,50.292 / 50.292,17.520 / 17.520,,,,NO
RCC52,RODAMIENTO,,Aplicaciones: FORD ESCORT 96>03 | FORD FIESTA 94>02 | FORD KA 97> | FORD ORION 93>98 | VOLKSWAGEN CADDY 98> | VOLKSWAGEN POINTER 93>97,BT1B 329013 Q | BT1B 329013 A/Q | 4RR329013 | 329013 | XC110240CG / L45410 | 572428,Ø int: 29 | Ø ext: 50.308 | Alt: 17.5 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT/EXT,29,50.308,17.5,29,50,17,NO
RCC39,RODAMIENTO,,Aplicaciones: FORD F100 73>92 | FORD F1000 73>92 | FORD F150 73>92 | HYUNDAI ELANTRA 73>92 | HYUNDAI SCOUPE 73>92,29749/710 | LM29749/10 | SET 70,Ø int: 38.1 | Ø ext: 65.088 | Alt: 18.034 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,38.1,65.088,18.034,38,65,18,NO
RCC38,RODAMIENTO,,Aplicaciones: FORD F100 74>92 | FORD F150 86>92 | FORD FAIRLANE 70> | FORD FALCON 70>93 | FORD RANCHERO 70>93 | FORD RANGER 4X2 95>01 | MERCEDES BENZ CLASE C (202) 93>00 | MERCEDES BENZ CLASE E (124) 93> | MERCEDES BENZ CLASE E (S 210) 96>05 | MERCEDES BENZ CLASE E (W 210) 96>02 | MERCEDES BENZ CLK (208) 97> | VOLKSWAGEN TRANSPORTER 83>92 | VOLVO 240 82>93 | VOLVO 245 82>93,12749/710 | LM 12749/710/Q | 4RR12749710 | LM12749/10 | SET 12,Ø int: 22 | Ø ext: 45.237 | Alt: 15.494 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,EXT,22,45.237,15.494,22,45,15,NO
RCC2614,RODAMIENTO,,Aplicaciones: FORD F100 4X2 00> | FORD F100 4X4 99> | FORD F150 4X4 96> | FORD F250 75>92 | FORD F350 74>93 | FORD F4000 93> | HYUNDAI GALLOPER 95>03 | KIA GRAND SPORTAGE 98>03 | KIA SPORTAGE 93>03 | MITSUBISHI L200 4X4 92> | MITSUBISHI L300 4X4 90>02 | MITSUBISHI MONTERO 90> | TOYOTA 4 RUNNER 90> | TOYOTA LAND CRUSIER 90>00 | TOYOTA HILUX 92>05 | TOYOTA HILUX SW4 92>05,102949/910 | LM 102949-Q/LM10 | 4RR102949 | L102949/10 | R169.15 | SET 47,Ø int: 45.242 | Ø ext: 73.431 | Alt: 19.558 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,45.242,73.431,19.558,45,73,19,NO
RCC2608,RODAMIENTO,,Aplicaciones: FORD FALCON >98 | VOLVO 245 82>93,68149/110 | L 68149/110/Q | 4RR68149110 | CROSS TIMKEN,Ø int: 35 | Ø ext: 59.131 | Alt:  | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,35,59.131,,35,59,,NO
RR53,RODAMIENTO,,Aplicaciones: FORD FOCUS III | FORD FOCUS III 13/.. | FORD KUGA | FORD KUGA 4X4 13/.. | VOLKSWAGEN GOL | VOLKSWAGEN SENDA,713678950 | VKBA6636 | 4RR6636M,Ø int: 45 | Ø ext: 82 | Alt: 42 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,45,82,42,45,82,42,NO
RCC54,RODAMIENTO,,Aplicaciones: FORD GALAXY 92>96 | SEAT CORDOBA 93>00 | SEAT IBIZA 92>00 | SEAT INCA 92>00 | SEAT TOLEDO 92>00 | VOLKSWAGEN CARAT 87>92 | VOLKSWAGEN GACEL 83>95 | VOLKSWAGEN GOL 91> | VOLKSWAGEN GOL TREND 09> | VOLKSWAGEN GOLF 90>99 | VOLKSWAGEN PASSAT 90> | VOLKSWAGEN POLO 96>00 | VOLKSWAGEN QUANTUM 91>00 | VOLKSWAGEN SAVEIRO 90> | VOLKSWAGEN SENDA 89>97 | VOLKSWAGEN VOYAGE 08>,14529 | VKBA4529 | 4RR4429K,Ø int: 17.462 / 29.000 | Ø ext: 39.878 / 50.292 | Alt: 13.843 / 14.732 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT/EXT,17.462 / 29.000,39.878 / 50.292,13.843 / 14.732,,,,NO
RR29,RODAMIENTO,,Aplicaciones: FORD MONDEO 93>06 | VOLVO S40 97>04 | VOLVO V40 97>04,BAHB 633966 | BAHB633966BB | PW40750037CS | R152.42 | 713660130 | 510029,Ø int: 40 | Ø ext: 75 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,40,75,37,40,75,37,NO
RR44,RODAMIENTO,,Aplicaciones: FORD RANGER,FW23 | PW45850051CSHD | JRM4549CS‐90UN9 | JRM 4549 ES | JRM4549,Ø int: 45 | Ø ext: 85 | Alt: 51 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,45,85,51,45,85,51,NO
RR109,RODAMIENTO,,Aplicaciones: FORD RANGER SW23,FW23 | PW45850051CSHD | JRM4549CS‐90UN9,Ø int: 45 | Ø ext: 85 | Alt: 51 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,,,,45,85,51,45,85,51,NO
RCC71,RODAMIENTO,,Aplicaciones: PEUGEOT 206 98>,70214 | 4RR70214 + 4RR70216,Ø int: 47 | Ø ext: 53.000 * 67.000 | Alt: 26 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,INT,47,53.000 * 67.000,26,47,,26,NO
RCC81,RODAMIENTO,,Aplicaciones: PEUGEOT 206 98>,70216,Ø int: 47 | Ø ext: 53 | Alt: 19 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,EXT,47,53,19,47,53,19,NO
RR67,RODAMIENTO,,Aplicaciones: PEUGEOT 408 11>,XGB 40574P | BAH-0186A | 4RR0186M | XGB40574P | 713630760,Ø int: 42 | Ø ext: 82 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,42,82,0,42,82,0,NO
RCC47,RODAMIENTO,,Aplicaciones: PEUGEOT 504 81>00 | PEUGEOT 504 PICK UP 70>91 | PEUGEOT 505 83>97 | PEUGEOT 604 75>85,320/32 X | 442882/Q | 4RR442882 | 320/32X,Ø int: 32 | Ø ext: 58 | Alt: 17 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,DEL,INT,32,58,17,32,58,17,NO
RR66,RODAMIENTO,,Aplicaciones: PEUGEOT 2008 13>,XGB 40547 | BAH-0072 ABX | 4RR40547M | XGB40547S01P | 713640310,Ø int: 37 | Ø ext: 72 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,0,37,72,0,NO
RR15A,RODAMIENTO,,Aplicaciones: RENAULT R4 S 70>84 | RENAULT R6,440190,Ø int: 36 | Ø ext: 76 | Alt: 27 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,36,76,27,36,76,27,NO
RR20,RODAMIENTO,,Aplicaciones: RENAULT R9 87>95 | RENAULT R11 84>95 | RENAULT R19 (CHARADE) 91>93 | RENAULT CLIO 91>98 | RENAULT TWINGO 92>03,FC 12033 | BT2B445620BB | 4RR12033 | PW35650035CS | 445620 | FC12033S01 | 713630180 | JRM3535A-90U02,Ø int: 35 | Ø ext: 65 | Alt: 35 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,65,35,35,65,35,NO
RCC75,RODAMIENTO,,Aplicaciones: RENAULT R9 87>97 | RENAULT R11 84>95 | RENAULT R19 92>02 | RENAULT KANGOO 98> | RENAULT MEGANE 97>02,KIT 042 VR | VKDA 27009 | 4RR042K | KS 555.02,Ø int:  | Ø ext:  | Alt:  | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,IZQ/DER,,,,,,,NO
RR68,RODAMIENTO,,Aplicaciones: RENAULT R9 87>97 | RENAULT R11 84>95 | RENAULT R19 92>02 | RENAULT R21 86>97 | RENAULT CLIO 91> | RENAULT EXPRESS 95> | RENAULT KANGOO 98> | RENAULT MEGANE 97>02 | RENAULT MEGANE II 03> | RENAULT NEVADA | RENAULT SCENIC | RENAULT TWINGO 92>03,F 89628.1 | 4RR89628 | F-89628 | 712038910,Ø int: 26 | Ø ext: 47 | Alt: 27 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SEMIEJE,DEL,IZQ/DER,26,47,27,26,47,27,NO
RR01A,RODAMIENTO,,Aplicaciones: RENAULT R9 87>97 | RENAULT R11 84>95 | RENAULT R19 92>02 | RENAULT CLIO 91>,F 89647.3,Ø int: 24.5 | Ø ext: 47 | Alt: 88 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,EMBRAGUE,-,-,24.5,47,88,24,47,88,NO
RR300,RODAMIENTO,,Aplicaciones: RENAULT R18 81>95 | RENAULT R21 86>97 | RENAULT FUEGO 84>93 | RENAULT NEVADA 86>97,TGB 10872 S02 | BA2B445533A | 4RR10872 | PHU10872 | TGB10872 | 713630170 | 513144KK,Ø int: 40 | Ø ext: 108 | Alt: 32 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,40,108,32,40,108,32,NO
RCC73,RODAMIENTO,,Aplicaciones: RENAULT R21 86>97 | RENAULT EXPRESS 95> | RENAULT KANGOO 98> | RENAULT NEVADA 86>97,KIT 041 VR | VKDA 27010 | 4RR041K | KS 555.01,Ø int:  | Ø ext:  | Alt:  | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,IZQ/DER,,,,,,,NO
RR48,RODAMIENTO,,Aplicaciones: RENAULT CAPTUR | RENAULT DUSTER 4X2 / 4X4 11> | RENAULT FLUENCE 10> | RENAULT MEGANE II | RENAULT MEGANE III 11> | RENAULT OROCH 4X2 / 4X4 16>,XGB 41793 | VKBA6682 | 4RR6682MK | PW42800039CSM | XGB41793R01 | 713631110,Ø int: 42 | Ø ext: 80 | Alt: 39 | ABS: SI,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,42,80,39,42,80,39,SI
RCC74,RODAMIENTO,,Aplicaciones: RENAULT CLIO 91>00 | RENAULT CLIO II 00>12,KIT 040 VR | VKDA 27013 | 4RR040K | KS 555.00,Ø int:  | Ø ext:  | Alt:  | ABS: NO,,,CILBRAKE,,RODAMIENTOS,SUSPENSION,TRAS,IZQ/DER,,,,,,,NO
RR25,RODAMIENTO,,Aplicaciones: RENAULT CLIO III 05>14 | RENAULT MEGANE II 02>10 | RENAULT TWINGO 08>,FC 40858 S03 | VKBA3639 | 4RR40858 | PW25550045CSHD | FC40858S03 | 713630950 | K85059,Ø int: 25 | Ø ext: 55 | Alt: 45 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,25,55,45,25,55,45,NO
RR31,RODAMIENTO,,Aplicaciones: RENAULT DUSTER 4X2 11> | RENAULT LATITUDE,FC 41722 S01,Ø int: 30 | Ø ext: 62 | Alt: 48 | ABS: SI,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,30,62,48,30,62,48,SI
RR59,RODAMIENTO,,Aplicaciones: RENAULT FLUENCE,FC41977 | VKBA3676 | FC41288S03 | 713630970,Ø int: 25 | Ø ext: 55 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,25,55,0,25,55,0,NO
RR51,RODAMIENTO,,Aplicaciones: RENAULT LAGUNA | RENAULT MEGANE COUPE | RENAULT SCENIC,GB 40250,Ø int: 40 | Ø ext: 84.025 | Alt: 38 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,40,84.025,38,40,84,38,NO
RR92,RODAMIENTO,,Aplicaciones: RENAULT LOGAN 07>,XGB 41140 P,Ø int: 37 | Ø ext: 72.04 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72.04,0,37,72,0,NO
RR93,RODAMIENTO,,Aplicaciones: RENAULT LOGAN 07>10,XGB 41371 P,Ø int: 37 | Ø ext: 72 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,37,72,0,37,72,0,NO
RR57,RODAMIENTO,,Aplicaciones: RENAULT LOGAN II 12/.. | RENAULT SANDERO 09/..,FC 41795 S01 | VKBA 6658 | 4RR41795,Ø int: 25 | Ø ext: 55 | Alt: 43 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,TRAS,IZQ/DER,25,55,43,25,55,43,NO
RCC2643,RODAMIENTO,,Aplicaciones: RENAULT TRAFIC 85>,32007 X | 32007X | 513286,Ø int: 35 | Ø ext: 62 | Alt: 18 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,INT,35,62,18,35,62,18,NO
RR40,RODAMIENTO,,Aplicaciones: RENAULT TRAFIC 85>,GB 10702 | VKBA909 | 4RR10702 | PW42840339CS | GB40549 | GB10702S03 | 713644180,Ø int: 42 | Ø ext: 84.03 | Alt: 39 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,42,84.03,39,42,84,39,NO
RR50A,RODAMIENTO,,Aplicaciones: SEAT CORDOBA 93>03 | SEAT IBIZA 92>03 | SEAT INCA 92>03 | SEAT TOLEDO 92>00 | VOLKSWAGEN CADDY 98> | VOLKSWAGEN GOL 03> | VOLKSWAGEN GOLF 90>99 | VOLKSWAGEN PASSAT 90> | VOLKSWAGEN POLO 96>,F 110457 | BAHB311443B | 4RR311443 | PW40720037CS | GB12320S01 | 566719,Ø int: 40 | Ø ext: 72 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,40,72,37,40,72,37,NO
RR60,RODAMIENTO,,Aplicaciones: TOYOTA LAND CRUISER PRADO 05> | TOYOTA HILUX 4X2 05> | TOYOTA HILUX 4X4 07> | TOYOTA HILUX SW4 05>,2DUF054N-2E | VKBA6900 | 4RR0089 | PHU56010 | R141.17 | 713621240 | 515040,Ø int: 54 | Ø ext: 132 | Alt: 51 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,PORTA MAZA,DEL,IZQ/DER,54,132,51,54,132,51,NO
RR32,RODAMIENTO,,Aplicaciones: VOLKSWAGEN AMAROK 10>,713610930 | VKBA6746 | 4RR6746MK | R154.65,Ø int: 49 | Ø ext: 88 | Alt: 0 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,49,88,0,49,88,0,NO
RR52,RODAMIENTO,,Aplicaciones: VOLKSWAGEN FOX | VOLKSWAGEN POLO | VOLKSWAGEN SURAN | VOLKSWAGEN UP 11> | VOLKSWAGEN UP 13/..,XGB 44519 | VKBA6766 | XGB44519 | 4RR6766M,Ø int: 35 | Ø ext: 66 | Alt: 37 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,DEL,IZQ/DER,35,66,37,35,66,37,NO
RR27,RODAMIENTO,,Aplicaciones: VOLKSWAGEN TRANSPORTER 92>,564725 | VKBA3406 | PW45800045CS | R140.97 | 564725AB | 510051,Ø int: 45 | Ø ext: 80 | Alt: 45 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,AMBAS,IZQ/DER,45,80,45,45,80,45,NO
RR6201,RODAMIENTO,,Aplicaciones: LINEA 6000 / 6200 USO VARIO,6201 2RSC3 | 6201‐2RS C3,Ø int: 12 | Ø ext: 32 | Alt: 10 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,LINEA 6200,-,-,12,32,10,12,32,10,NO
RCC21004,RODAMIENTO,,Aplicaciones: LINEA CAMION - ACOPLADO BONANO 70> | LINEA CAMION - ACOPLADO HELVETICA 70> | LINEA CAMION - ACOPLADO HERMANN 70> | LINEA CAMION - ACOPLADO MONTENEGRO 70> | LINEA CAMION - ACOPLADO PRATY | LINEA CAMION - ACOPLADO VULCANO 70>,518445/410 | HM 518445/410 A | 4RR518445410 | HM518445/10 | SET 415,Ø int: 88.9 | Ø ext: 152.42 | Alt: 39.68 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,CONO/CUBETA,TRAS,IZQ/DER,88.9,152.42,39.68,88,152,39,NO
RCC21003,RODAMIENTO,,Aplicaciones: LINEA CAMION - ACOPLADO MERCEDES BENZ | LINEA CAMION - ACOPLADO SCANIA | LINEA CAMION - ACOPLADO VOLVO,32218 | VKHB2030,Ø int: 90 | Ø ext: 160 | Alt: 42.5 | ABS: NO,,,CILBRAKE,,RODAMIENTOS,RUEDA,,IZQ/DER,90,160,42.5,90,160,42,NO
